price_eur_pm,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,acepta_mascotas,amueblado_True,amueblado_nan,cluster,cluster_label
10000.0,3220.234693877551,Centro,40.4193404,-3.7092532,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
3700.0,3480.1075268817203,Chamberí,40.4296441,-3.692069,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1250.0,1410.0,Arganzuela,40.3988197,-3.6997674,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
2900.0,4703.695652173913,Retiro,40.4128918,-3.6910198,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,Residencial Familiar con Extras
4100.0,3843.846153846154,Salamanca,40.4295312,-3.6858068,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,101.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1,Piso Básico y Económico
1100.0,2180.8055555555557,Chamberí,40.4361902,-3.705911,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
3800.0,3791.6666666666665,Chamartín,40.4425282,-3.6804913,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,131.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1400.0,2323.548387096774,Tetuán,40.45148,-3.7011468,0.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
3400.0,3220.234693877551,Centro,40.4220254,-3.7110628,0.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1950.0,1873.7954545454545,Tetuán,40.4671631,-3.6969866,0.0,1.0,1.52363873073056,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
11500.0,3353.04,Centro,40.4215477,-3.6955498,0.0,0.0,2.729488694670319,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,248.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,4,Apartamento Premium (Ubicación Prime)
1925.0,1873.7954545454545,Tetuán,40.4726347,-3.6929506,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
850.0,1718.409090909091,Arganzuela,40.4128092,-3.7190174,0.0,0.0,0.0,0.0,0.0,0.0,0.6202820923470944,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
