price_eur,barrio,distrito,lat,lon,energy_consumption_rating,energy_consumption_value,energy_emissions_rating,energy_emissions_value,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
682900.0,El Cañaveral,Vicálvaro,40.3958,-3.55241,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,4.0,False,False,0.0,False,False,False,183.0,183.0,False,False,False,Otro
250000.0,Valverde,Fuencarral-El Pardo,40.4858738,-3.6868696,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,54.0,54.0,False,False,False,Piso
460900.0,El Cañaveral,Vicálvaro,40.3936,-3.55213,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,3.0,False,False,0.0,False,False,False,96.0,96.0,False,False,False,Piso
1690000.0,Ibiza,Retiro,40.4208352,-3.6743158,False,,False,,0.0,False,True,Desconocida,False,False,3,True,False,En buen estado,False,False,4.0,False,False,0.0,False,False,False,177.0,177.0,False,False,False,Otro
2950000.0,Recoletos,Salamanca,40.4221525,-3.6841301,False,,False,,0.0,False,True,Desconocida,False,False,2,True,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,131.0,131.0,False,False,False,Piso
649900.0,Ensanche de Vallecas-Valdecarros,Villa de Vallecas,40.3433,-3.61607,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,3.0,False,False,0.0,False,False,False,115.0,115.0,False,False,False,Otro
1170250.0,Ciudad Jardín,Chamartín,40.448361,-3.6711906,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,True,False,0.0,False,False,False,152.0,152.0,False,False,False,Piso
1490000.0,Sanchinarro,Hortaleza,40.433477524,-3.718373531,False,,False,,0.0,False,True,Desconocida,False,False,3,True,False,En buen estado,False,False,4.0,False,False,0.0,False,False,False,187.0,187.0,False,False,False,Piso
249000.0,Los Berrocales-Los Ahijones,Vicálvaro,40.3967309,-3.5844075,False,,False,,0.0,False,True,Desconocida,False,1.0,1,False,False,A estrenar,False,False,1.0,False,False,1.0,False,False,False,65.0,65.0,False,False,False,Piso
7250000.0,Almagro,Chamberí,40.4326977,-3.6925709,False,,False,,0.0,False,True,Desconocida,False,False,5,True,False,En buen estado,False,False,5.0,False,False,0.0,False,False,False,485.0,485.0,False,False,False,Casa
1500000.0,Argüelles,Moncloa-Aravaca,40.4281821,-3.7164183,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,75.0,75.0,False,False,False,Otro
185000.0,Orcasitas,Usera,40.3688791,-3.7132039,E,262 kWh/m² año,E,54 Kg CO₂/m² año,0.0,False,True,Entre 30 y 50 años,False,False,1,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,False,81.0,81.0,False,False,False,Casa
1399900.0,Simancas,San Blas,40.4377721,-3.6202102,False,,False,,0.0,False,True,Desconocida,False,False,3,False,False,A estrenar,False,False,4.0,False,False,0.0,False,False,False,282.0,282.0,False,False,False,Chalet
399800.0,Valdezarza,Moncloa-Aravaca,40.45995,-3.71128,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,0.0,False,False,False,70.0,70.0,False,False,False,Piso
989000.0,Sol,Centro,40.4167972,-3.7017972,False,,False,,0.0,False,True,Más de 50 años,False,1.0,3,True,False,En buen estado,False,False,3.0,False,False,2.0,False,False,False,112.0,112.0,False,False,False,Piso
731000.0,Valdebebas-Valdefuentes,Hortaleza,40.4886,-3.62361,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,3.0,False,False,9.0,False,False,False,142.0,142.0,False,False,False,Piso
799000.0,Universidad-Malasaña,Centro,40.4275486,-3.709967,False,,False,,0.0,False,True,Más de 50 años,False,1.0,2,False,False,En buen estado,False,False,4.0,False,False,2.0,False,False,False,100.0,89.0,False,False,False,Piso
441900.0,Los Berrocales-Los Ahijones,Vicálvaro,40.3935209,-3.6013164,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,4.0,False,False,0.0,False,False,False,124.0,124.0,False,False,False,Piso
2026500.0,Aravaca,Moncloa-Aravaca,40.4606482,-3.7804163,False,,False,,0.0,False,True,Desconocida,False,False,5,False,False,A estrenar,False,False,12.0,False,False,1.0,False,False,False,319.0,319.0,False,False,False,Piso
428000.0,Peñagrande,Fuencarral-El Pardo,40.4699132,-3.7264876,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,0.0,False,False,False,32.0,32.0,True,False,False,Piso
836800.0,Palacio,Centro,40.4118684,-3.7176348,A,24 kWh/m² año,A,4 Kg CO₂/m² año,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,74.0,74.0,False,False,False,Otro
437700.0,Los Berrocales-Los Ahijones,Vicálvaro,40.393904724,-3.58149909,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,3.0,False,False,0.0,False,False,False,102.0,102.0,False,False,False,Otro
831500.0,Pueblo Nuevo,Ciudad Lineal,40.4196514,-3.6288947,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,176.0,176.0,False,False,False,Otro
5300000.0,Castellana,Salamanca,40.4338188,-3.6856831,False,,False,,0.0,False,True,Desconocida,False,False,6,False,False,En buen estado,False,False,5.0,False,False,0.0,False,False,False,405.0,405.0,True,False,False,Otro
4500000.0,Aravaca,Moncloa-Aravaca,40.4593699,-3.7843225,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,,False,False,0.0,False,False,False,,,False,False,False,Chalet
299497.0,Simancas,San Blas,40.4341242,-3.6245248,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,5.0,False,False,False,65.0,65.0,False,False,False,Piso
364600.0,Los Berrocales-Los Ahijones,Vicálvaro,40.393904724,-3.58149909,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,84.0,84.0,False,False,False,Otro
4500000.0,Aravaca,Moncloa-Aravaca,40.4601093,-3.7839056,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,,False,False,0.0,False,False,False,,,False,False,False,Chalet
