price_eur,barrio,distrito,lat,lon,listing_type,energy_consumption_rating,energy_emissions_rating,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,cocina equipada,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,referencia,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
890.0,Concepción,Ciudad Lineal,40.4432053,-3.642051847,rental,False,False,0.0,False,Si,Entre 30 y 50 años,False,False,1,True,False,False,En buen estado,False,False,2.0,False,False,5.0,False,False,12424981,False,85.0,80.0,False,False,False,Otro
2000.0,Castellana,Salamanca,40.4338188,-3.6856831,rental,False,False,0.0,True,Si,Entre 30 y 50 años,False,False,1,True,False,True,Reformado,False,False,1.0,False,False,2.0,False,True,4018-.DG,False,70.0,65.0,False,False,False,Otro
2825.0,Castellana,Salamanca,40.4484224,-3.6775172,rental,G,G,0.0,False,Si,,False,False,2,False,False,True,En buen estado,False,False,2.0,False,False,6.0,False,False,ZEILA,False,60.0,60.0,False,False,False,Otro
1200.0,Puerta Bonita,Carabanchel,40.3826743,-3.7307569,rental,False,False,0.0,False,No,Más de 50 años,False,False,1,True,False,False,En buen estado,False,False,3.0,False,False,2.0,False,False,OPO463 PISO EN ALQUILER EN CARABANCHEL - PUERTA BO,False,58.0,48.0,False,False,False,Piso
3500.0,Almagro,Chamberí,40.4378321,-3.6930425,rental,False,False,0.0,True,Si,,False,False,2,True,False,Independiente - amueblada con elec.,En buen estado,False,False,3.0,False,False,0.0,False,False,1240,False,150.0,150.0,False,False,False,Piso
1200.0,Concepción,Ciudad Lineal,40.4427852,-3.6436842,rental,False,False,0.0,True,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,0.0,False,False,1543/588,False,54.0,30.0,False,False,False,Otro
2900.0,Gaztambide,Chamberí,40.4355828,-3.7173263,rental,False,False,0.0,False,Si,,False,False,3,True,False,False,En buen estado,False,False,3.0,False,False,2.0,False,True,01297/2151,False,,110.0,False,False,False,Piso
1200.0,Palos de Moguer,Arganzuela,40.4018,-3.69716,rental,False,False,0.0,False,No,Más de 50 años,False,False,1,True,False,False,En buen estado,False,False,2.0,False,False,2.0,False,False,241A1062/1085,False,58.0,45.0,False,False,False,Piso
900.0,Bellas Vistas,Tetuán,40.4560039,-3.706318,rental,E,E,0.0,False,No,Más de 50 años,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,0.0,False,False,594640,False,34.0,34.0,False,False,False,Otro
1500.0,Palacio,Centro,40.4130933,-3.7086104,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,2.0,False,False,28-85-3343,False,37.0,35.0,False,False,False,Otro
1500.0,Embajadores-Lavapiés,Centro,40.4086543,-3.7023202,rental,False,False,0.0,True,Si,,False,1.0,1,True,False,Cocina amueblada,En buen estado,False,False,2.0,False,False,2.0,False,False,ALQCORTAESTANCIALAV,False,84.0,84.0,False,False,False,Piso
4500.0,Hispanoamérica,Chamartín,40.4568826,-3.6873704,rental,False,False,0.0,False,No,Más de 50 años,False,False,2,False,False,False,En buen estado,False,False,4.0,False,False,2.0,False,False,06694/7619,False,213.0,200.0,False,False,False,Piso
1200.0,Ventas,Ciudad Lineal,40.4307751,-3.6481571,rental,False,False,1.0,False,Si,Entre 5 y 10 años,False,False,1,True,False,True,En buen estado,False,False,2.0,False,False,2.0,True,True,000016,True,65.0,55.0,False,False,False,Piso
1200.0,Embajadores-Lavapiés,Centro,40.4093028,-3.69887,rental,False,False,0.0,False,No,Más de 50 años,False,False,1,False,False,True,En buen estado,False,False,2.0,False,False,4.0,False,False,611377,False,46.0,46.0,False,False,False,Casa
2600.0,Nueva España,Chamartín,40.4613288,-3.672516,rental,False,False,0.0,True,Si,Entre 20 y 30 años,False,False,2,True,False,True,Reformado,False,True,3.0,False,False,3.0,True,False,1927-LH,False,90.0,80.0,False,False,False,Piso
890.0,Hellín,San Blas,40.4302126,-3.6119697,rental,False,False,0.0,True,Si,,False,False,1,False,False,True,A estrenar,False,False,1.0,False,False,0.0,False,True,2A2388,False,40.0,40.0,False,False,False,Otro
900.0,Embajadores-Lavapiés,Centro,40.40823,-3.7005574,rental,E,F,0.0,False,No,Más de 50 años,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,4.0,False,False,616126,False,33.0,33.0,False,False,False,Piso
