price_eur,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,amueblado_False,amueblado_True,amueblado_nan,cluster,cluster_label
269900.0,209809.0909090909,Latina,40.4047991,-3.7489908,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,0.0,3.6590552377255,0.0,0.0,1.0,1,Apartamento Estándar
249000.0,451507.6923076923,Villa de Vallecas,40.3628048,-3.6054839,0.0,0.0,0.48090388599141554,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.9960041969713989,0.0,0.0,3.0,0.0,0.0,1.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,Piso Señorial Clásico
329000.0,1209500.0,Chamberí,40.4463897,-3.701952,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.1377040857139753,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,2.6510791752897283,0.0,0.0,1.0,1,Apartamento Estándar
1770000.0,1985104.0983606558,Salamanca,40.4217912,-3.6772485,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.1042108184345338,0.0,0.0,5.0,0.0,0.0,0.0,0.0,156.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0,Piso Señorial Clásico
499900.0,451507.6923076923,Villa de Vallecas,40.334064,-3.5906244,0.0,0.0,1.395485340466716,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,109.0,1.0,1.0,0.0,3.5756307891652535,0.0,0.0,1.0,1,Apartamento Estándar
1195000.0,1985104.0983606558,Salamanca,40.4252141,-3.6754908,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,125.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1700000.0,2711931.214285714,Salamanca,40.422744896,-3.68038587,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.1527328803136427,0.0,0.0,2.0,0.0,0.0,1.0,0.0,175.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,Premium Reformado
998000.0,843881.4814814815,Tetuán,40.447249,-3.6991993,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,1.7156130959970375,0.0,1.0,0.0,4,Premium Reformado
373900.0,404876.1904761905,Vicálvaro,40.393904724,-3.58149909,0.0,0.0,1.2649538678262295,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,2.9785663498664277,0.0,0.0,1.0,1,Apartamento Estándar
457900.0,451507.6923076923,Villa de Vallecas,40.3409,-3.61166,0.0,0.0,1.3927041649159926,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,119.0,1.0,1.0,0.0,3.5863225339426723,0.0,0.0,1.0,1,Apartamento Estándar
449900.0,483323.07692307694,Vicálvaro,40.3974,-3.55761,0.0,0.0,1.4706509316740828,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,90.0,1.0,1.0,0.0,3.5681800216551616,0.0,0.0,1.0,1,Apartamento Estándar
